title,brand,rating,reviews,price,image_url,product_url,sponsored
"AVS 3 Feet Teddy Bear for Girls Soft Plush Stuffed Toys, Huggable and Lovable Teddy Bear Gift for Birthday Kids, Girls, Wife, Girlfriend, Valentine's, Anniversary (Cream)",Sponsored,3.9,746,944,https://m.media-amazon.com/images/I/41ddRv940eL._AC_UL320_.jpg,N/A,TRUE
"LOVEY DOVEY 4 Feet Giant Teddy Bear – Soft, Huggable, Life-Size Plush Toy – Child-Safe & Washable for Birthdays, Valentine’s Day & Special Occasions (Pink)",Sponsored,4.1,63,1263,https://m.media-amazon.com/images/I/619s8Q+jcNL._AC_UL320_.jpg,N/A,TRUE
"Back BANCHERS Teddy Bear for Girls | Panda Teddy Bear | Wife Gifts Special Surprise Anniversary (5 FEET, Grey)",Sponsored,3.1,75,1170,https://m.media-amazon.com/images/I/71kRxWk7uYL._AC_UL320_.jpg,N/A,TRUE
"Amazon Brand - Jam & Honey Teddy Bear, Cute, Soft Toy (33 Cm, Pink), Great Birthday Gift",Sponsored,4.4,13833,335,https://m.media-amazon.com/images/I/81A+9JEi5zL._AC_UL320_.jpg,N/A,TRUE
Storescent Hooded Teddy Bear Plush Toy | Soft & Cute Stuffed Animal Toy for Hugging for Kids & Loved Ones - Yellow 45cm,Sponsored,4.1,1740,449,https://m.media-amazon.com/images/I/71DokOsHoNL._AC_UL320_.jpg,N/A,TRUE
"HOMECUTE Large Soft Toys Elephant, Big Size Fibre Filled Stuffed Animal for Baby Girls & Boys, Soft Pillow for Toddlers, Birthday Gift for Kids, Soft Toys for New Born Baby (Yellow)",Sponsored,0,599,599,https://m.media-amazon.com/images/I/71-PsF8-UzL._AC_UL320_.jpg,N/A,TRUE
"HUG 'n' FEEL SOFT TOYS Soft Toys Long Soft Lovable hugable Cute Giant Life Size Teddy Figure Bear Plush & Stuffed Toys (4 feet Monkey, Dark Brown) Lovely Teddy Figure",Sponsored,4.2,93,1087,https://m.media-amazon.com/images/I/61wptafwn4L._AC_UL320_.jpg,N/A,TRUE
"HOMECUTE Ultra Soft Teddy Bear for Kids, Kid's Toys Panda, Lovable Huggable Cute Soft Teddy Bear, Cute Panda for Baby/Kids (Red)",Sponsored,0,299,299,https://m.media-amazon.com/images/I/716uI+hDMtL._AC_UL320_.jpg,N/A,TRUE
"BLOOM PLEX Cute and Beautiful Sleeping Cat Plush Idol with Meow Sound for Home Decoration and car Dashboard | Gift for Kids, Boys and Girls (White Colour)",Sponsored,1,1,289,https://m.media-amazon.com/images/I/41HJuipCfmL._AC_UL320_.jpg,N/A,TRUE
"RVA Cute Bunny Baby Doll Plush Toys Lovable and Huggable Gift for Birthdays & Occasions for Children, Kids, Baby Girl Home Decor (Size 40 cm) (Orange)",Sponsored,3.1,10,499,https://m.media-amazon.com/images/I/61sPu44IwSL._AC_UL320_.jpg,N/A,TRUE
"HOMECUTE Large Soft Toys Elephant, Big Size Fibre Filled Stuffed Animal for Baby Girls & Boys, Soft Pillow for Toddlers, Birthday Gift for Kids, Soft Toys for New Born Baby (Pink)",Sponsored,0,599,599,https://m.media-amazon.com/images/I/61mZZ3PMl3L._AC_UL320_.jpg,N/A,TRUE
Babique Cow Tremp Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Pack of 1)(30 cm),Sponsored,4.3,714,279,https://m.media-amazon.com/images/I/71haBHpt8wL._AC_UL320_.jpg,N/A,TRUE
Krow Enchanting Rainbow Multicolor Unicorn Soft Toy - 25CM | Awesome Gift for Girls/Kids | Floppy and Glittery with Sparkling Golden Horn | Soft Stuffed Plush Animal,Sponsored,3.6,19,251,https://m.media-amazon.com/images/I/81epWhJkLfL._AC_UL320_.jpg,N/A,TRUE
Babique Ball Soft Toy Stuffed Plush Ball Kids Baby Boy Girl Birthday Gift 25 cm Yellow-Black,Sponsored,4,832,169,https://m.media-amazon.com/images/I/61XXdkuJzxL._AC_UL320_.jpg,N/A,TRUE
"AVSHUB Soft Toy Elephant Toys Long Soft Lovable hugable Cute Giant Life Birthday Gift Babies for New Born, Girls, Boy, Home Decor (Grey) (Size 30CM)",Sponsored,2.8,34,499,https://m.media-amazon.com/images/I/61YJosixzsL._AC_UL320_.jpg,N/A,TRUE
"HUG 'n' FEEL SOFT TOYS Unicorn, Soft Toy, Baby Toys, Kids Toy, Soft Toy, Toy for Girl, Birthday Gift for Girl Plush & Stuffed Toys",Sponsored,3.9,58,628,https://m.media-amazon.com/images/I/61ZlQlogpAS._AC_UL320_.jpg,N/A,TRUE
"Thrive Toys Soft Toys for Kids Girls - Milk Tea Piggy 26cm Plushies Cute Teddy Bear | Animal Stuff Toys | Birthday Gift for Baby, Boy, Kids, Girl & Girlfriend | Ideal for Special Occasions (Green)",Sponsored,4.3,4,799,https://m.media-amazon.com/images/I/61Q8s43ymVL._AC_UL320_.jpg,N/A,TRUE
"Babique Elephant Standing Super Soft Toy | Stuffed Plush Animal | Ideal for Birthdays & Special Occasions Girls/Boys, Baby Kids 25 cm -Grey",Sponsored,4.3,714,279,https://m.media-amazon.com/images/I/61r+v3WahsL._AC_UL320_.jpg,N/A,TRUE
"AVSHUB Unicorn Soft Toy for Kids Animal Cute Lovely Cartoon Lovable Hugable Birthday Gift Babies, Girls, Boy, Home Decor (100cm Pink)",Sponsored,4.1,227,1038,https://m.media-amazon.com/images/I/51qWawOU-EL._AC_UL320_.jpg,N/A,TRUE
"LOVEY DOVEY – Capybara 45cm Soft Toy Plush Toy | Stuffed Animal | Ultra Soft, Huggable & Cuddly Gift for Kids, Girls, Boys | Perfect for Birthday, Valentine’s Day",Sponsored,5,1,1033,https://m.media-amazon.com/images/I/61DgKS4KJxL._AC_UL320_.jpg,N/A,TRUE
Nexivntra Sleeping Cat On Carpet Silicone Animal Toy for Kids Car Dashboard & Office Desk,Sponsored,0,399,399,https://m.media-amazon.com/images/I/51XCBmT-WzL._AC_UL320_.jpg,N/A,TRUE
Babique Reversible Carrot Plush Soft Toy Cute Kids Animal Home Car Decor Kids Birthday Boys/Girls/Baby (Pink) 30 cm,Sponsored,4,75,349,https://m.media-amazon.com/images/I/61RI7dRTR2L._AC_UL320_.jpg,N/A,TRUE
